age,depth,d13C,d18O
13.5866,6.7492,-10.48604801,-10.29002
13.5908,6.7762,-10.57228292,-10.2204
13.595,6.8032,-10.75913584,-10.52059
13.5991,6.8302,-10.83284182,-10.43097
13.6033,6.8572,-11.0304319,-10.87135
13.6075,6.8842,-11.20548716,-10.84208122
13.6117,6.9112,-11.0648207,-10.5628522
13.6159,6.9382,-11.01746962,-10.32362318
13.6201,6.9652,-11.01064436,-10.60439416
13.6242,6.9922,-10.65774077,-10.77516514
13.6284,7.0192,-10.61950123,-10.92593612
13.6326,7.0462,-10.55936672,-10.8567071
13.6367,7.0732,-10.58216285,-10.46747808
13.6409,7.1002,-10.48867468,-10.30824906
13.6451,7.1272,-10.62816221,-10.51863455
13.6492,7.1542,-10.54940592,-10.50940553
13.6534,7.1812,-10.42791708,-10.40017651
13.6617,7.2352,-10.17649417,-9.81171847
13.6659,7.2622,-9.972228411,-9.98248945
13.6701,7.2892,-9.892656424,-9.90326043
13.6742,7.3162,-9.761951746,-9.90403141
13.6784,7.3432,-9.983933449,-10.0344169
13.6826,7.3702,-10.05712267,-10.19518788
13.6909,7.4242,-10.21653662,-9.93672984
13.6951,7.4512,-10.22679873,-10.02750082
13.6992,7.4782,-10.31216022,-9.94865729
13.7034,7.5052,-10.41170599,-10.16904278
13.7118,7.5592,-10.61671231,-9.74058474
13.7159,7.5862,-10.6110731,-10.02135572
13.7201,7.6132,-10.68982277,-9.8521267
13.7243,7.6402,-10.7688097,-9.85289768
13.7285,7.6672,-10.75111071,-9.60405415
13.7369,7.7212,-10.4488913,-9.5659816
13.7452,7.7752,-10.00531168,-9.51752356
13.7494,7.8022,-10.20071014,-9.77790905
13.7579,7.8562,-10.02147633,-9.61906552
13.7621,7.8832,-10.10595115,-9.55945101
13.7663,7.9102,-10.02382342,-9.30022199
13.7705,7.9372,-10.14957448,-9.50099297
13.7747,7.9642,-10.18759612,-9.33176395
13.7789,7.9912,-10.10347024,-9.32214944
13.7874,8.0452,-10.11293992,-9.2236914
13.7917,8.0722,-9.937647218,-9.23446238
13.8012,8.133,-10.0374592,-9.28523336
13.8102,8.19,-10.05977047,-9.66716081
13.8153,8.222,-10.681,-9.67793179
13.8204,8.254,-9.99527,-10.15908826
13.8254,8.286,-10.4257,-10.63024473
13.8305,8.318,-10.3831,-10.60101571
13.8356,8.35,-10.1518,-10.26217218
13.8407,8.382,-10.01933,-10.40294316
13.8458,8.414,-10.0764,-10.21371414
13.851,8.446,-10.3985,-10.72487061
13.8561,8.478,-10.5979,-11.00564159
13.8613,8.51,-10.3804,-9.97641257
13.8664,8.542,-10.4749,-10.79756904
13.8716,8.574,-10.6453,-11.51834002
13.8768,8.606,-10.7581,-11.28949649
13.882,8.638,-10.2699,-11.44026747
13.8872,8.67,-10.1139,-11.05142394
13.9082,8.798,-9.99,-10.41219492
13.9134,8.83,-10.04215,-10.29335139
13.9187,8.862,-10.1909,-9.73412237
13.9241,8.894,-10.06825,-10.01527884
13.9296,8.926,-10.2043,-9.79604982
13.9353,8.958,-10.1011,-10.09720629
13.9412,8.99,-10.5151,-9.85874825
13.9473,9.022,-10.403,-9.84951923
13.9536,9.054,-10.28,-10.1406757
13.9601,9.086,-10.3923,-9.82144668
13.9668,9.118,-10.3675,-9.95260315
13.9737,9.15,-10.2693,-9.70375962
13.9807,9.182,-10.5734,-10.44491609
13.9879,9.214,-10.9863,-9.48645805
13.9953,9.246,-11.1062,-10.05800001
14.0028,9.278,-10.5799,-9.62915648
14.0105,9.31,-10.7759,-10.52069844
14.0183,9.342,-10.8359,-9.85185491
14.0263,9.374,-10.8739,-9.22316894
14.0345,9.406,-10.9709,-10.33437446
14.0427,9.438,-10.7843,-9.4652786
14.0511,9.47,-11.2879,-10.95648412
14.0596,9.502,-11.0054,-10.15738826
14.0683,9.534,-10.7226,-10.22799102
14.077,9.566,-10.8341,-10.1897993
14.0859,9.598,-10.6002,-10.04070344
14.0949,9.63,-10.6545,-9.85160758
14.104,9.662,-10.7029,-9.90221034
14.1132,9.694,-10.9184,-10.02311448
14.1225,9.726,-10.9425,-9.62401862
14.1318,9.758,-10.9262,-11.11462138
14.1413,9.79,-11.0133,-10.46552552
14.1502,9.82,-10.65,-11.11642966
14.1526,9.828,-10.3269,-10.81763518
14.161,9.856,-10.2067,-9.91823794
14.1695,9.884,-10.2168,-9.98914208
14.178,9.912,-10.3196,-10.02004622
14.1866,9.94,-10.3,-9.96064898
14.1952,9.968,-9.9672,-9.66155312
14.2039,9.996,-9.87271,-9.91245726
14.2125,10.024,-9.83146,-10.04306002
14.2213,10.052,-10.6199,-9.91396416
14.23,10.08,-10.741,-9.89456692
14.2388,10.108,-10.804,-9.84547106
14.2476,10.136,-10.6573,-9.9363752
14.2564,10.164,-10.5202,-9.73697796
14.2653,10.192,-10.3928,-9.6078821
14.2741,10.22,-10.2249,-9.62848486
14.283,10.248,-10.46,-9.70908762
14.2919,10.276,-10.4633,-9.53999176
14.3008,10.304,-10.451,-9.82059452
14.3097,10.332,-10.5189,-10.06149866
14.3186,10.36,-10.6235,-9.92210142
14.3275,10.388,-10.4602,-9.78300556
14.3363,10.416,-10.3487,-9.9239097
14.3471,10.45,-10.1973,-9.76421108
14.3566,10.48,-10.2372,-9.85511522
14.366,10.51,-10.2064,-9.76601936
14.3755,10.54,-10.0935,-9.7069235
14.3843,10.568,-10.4104,-10.05782764
14.393,10.596,-10.8716,-10.5184304
14.4017,10.624,-10.9292,-10.66933454
14.4104,10.652,-10.7973,-10.19023868
14.4191,10.68,-10.4937,-10.10084144
14.4271,10.706,-10.2102,-10.05174558
14.4351,10.732,-9.93189,-10.20234834
14.443,10.758,-9.81673,-10.19325248
14.4509,10.784,-9.31352,-9.64385524
14.4587,10.81,-8.94187,-9.40475938
14.4671,10.838,-8.27784,-9.58536214
14.4751,10.865,-8.45951,-9.11626628
14.4834,10.893,-7.44475,-9.11686904
14.4913,10.92,-6.85794,-8.90777318
14.5,10.95,-7.50229,-9.47867732
14.5081,10.978,-8.525332567,-9.47928008
14.5158,11.005,-8.61158,-9.57018422
14.5237,11.033,-9.16986,-10.16108836
14.5312,11.06,-8.87008,-10.06169112
14.5384,11.086,-8.820719728,-9.37259526
14.5455,11.112,-8.09558,-9.28440354
14.5527,11.138,-7.704180115,-9.019527
14.56,11.164,-7.39536,-9.12300098
14.5674,11.19,-7.305078195,-9.15544802
14.576,11.22,-7.44416,-9.27850682
14.5906,11.27,-7.62203,-9.0934009
14.6026,11.31,-6.72999,-8.88737734
14.6242,11.38,-6.48078,-8.92425964
14.6305,11.4,-5.82035,-8.86624786
14.6368,11.42,-5.65428,-9.00823608
14.6529,11.47,-5.60283,-8.62313016
14.6628,11.5,-5.29787,-8.82618896
14.6695,11.52,-5.49183,-8.60817718
14.6933,11.59,-5.47317,-8.50505432
14.703,11.618,-5.24666,-8.6976816
14.7129,11.646,-6.30676,-9.05030888
14.7229,11.674,-6.79255,-9.52293616
14.7331,11.702,-7.42616,-9.79556344
14.7433,11.73,-7.87249,-10.35819072
14.753,11.756,-8.35643,-10.05067204
14.7627,11.782,-7.28224,-9.45315336
14.7726,11.808,-7.55026,-9.80563468
14.7826,11.834,-7.37021,-9.668116
14.7927,11.86,-7.07407,-9.42045136
14.803,11.886,-7.32656,-9.45293268
14.8133,11.912,-7.52944,-9.425414
14.8238,11.938,-7.75071,-9.75789532
14.8344,11.964,-8.49127,-9.66037664
14.8451,11.99,-8.38927,-9.502712
14.8568,12.018,-7.24018,-9.25533928
14.8686,12.046,-6.10653,-8.90811252
14.8806,12.074,-5.68026,-8.6007398
14.8927,12.102,-6.614456642,-8.58336708
14.905,12.13,-7.49245781,-8.924925841
14.9174,12.158,-7.66179,-9.495583759
14.9427,12.214,-6.99938,-9.396899595
14.9685,12.27,-7.56719,-9.278215431
14.9807,12.296,-7.889093019,-9.518836798
14.9931,12.322,-8.05637,-9.819458165
15.0056,12.348,-7.44139,-9.360079532
15.0182,12.374,-6.95258,-9.320664348
15.031,12.4,-7.00844,-9.281285715
15.0449,12.428,-7.48345,-9.611943633
15.0589,12.456,-8.04877962,-9.872601551
15.0875,12.512,-7.766897869,-9.053953938
15.1021,12.54,-6.928515601,-8.814611856
15.1168,12.568,-6.210875808,-8.685269774
15.1316,12.596,-5.930283607,-9.175927692
15.1467,12.624,-6.439669489,-9.45658561
15.1619,12.652,-6.445894757,-9.197243528
15.1772,12.68,-6.23488,-9.177901446
15.1917,12.706,-6.070776071,-8.968522813
15.221,12.758,-6.394808672,-8.969765547
15.2358,12.784,-6.584261313,-9.070350363
15.2509,12.81,-7.369359657,-9.19097173
15.266,12.836,-7.750879517,-9.381593097
15.2814,12.862,-7.933140497,-9.772214464
15.2968,12.888,-8.330353433,-9.592835831
15.3125,12.914,-8.630242607,-9.833420647
15.3628,12.996,-8.46231752,-9.73535785
15.3803,13.024,-7.789353371,-9.156015768
15.398,13.052,-6.069506357,-8.726710237
15.4159,13.08,-8.005050626,-8.527368155
15.4314,13.104,-8.525332567,-9.60791642
15.4471,13.128,-7.855367004,-9.318501236
15.4628,13.152,-7.626754896,-9.609049501
15.4787,13.176,-7.229692026,-9.859634317
15.4948,13.2,-7.048441989,-8.970150502
15.5152,13.228,-6.62502445,-9.631301609
15.5388,13.256,-6.865819077,-9.402452716
15.5653,13.284,-7.226964444,-9.193603823
15.5946,13.312,-7.292618995,-9.224723819
15.6264,13.34,-7.402853389,-9.465874926
15.663,13.37,-8.167935811,-10.03708826
15.7021,13.4,-7.725301747,-9.568332695
15.7433,13.43,-8.07636308,-9.279546024
15.7865,13.46,-7.999621988,-9.030790464
15.8313,13.49,-8.936509767,-9.402003793
15.8776,13.52,-8.25508696,-8.893217122
15.925,13.55,-8.050422922,-9.864461562
15.9734,13.58,-7.986121813,-10.01567489
16.039,13.62,-8.368149334,-9.807323774
16.0885,13.65,-8.339836689,-9.98813266
16.1283,13.674,-8.635241528,-10.05912821
16.168,13.698,-8.882114255,-9.860092653
16.2075,13.722,-8.871101075,-9.351088205
16.2466,13.746,-8.931776579,-9.062378126
16.2853,13.77,-9.101032097,-9.413763438
16.3235,13.794,-9.495452706,-9.675018877
16.3609,13.818,-9.875200168,-10.26631761
16.3976,13.842,-9.723870767,-10.72757305
16.4332,13.866,-9.283735255,-10.20887178
16.4706,13.892,-8.991112234,-9.799780887
16.5066,13.918,-8.97067,-10.06138265
16.5409,13.944,-8.42372919,-9.66294113
16.5736,13.97,-7.65663685,-9.454542897
16.6042,13.996,-6.95286,-9.206014791
16.6328,14.022,-7.061786149,-9.137486685
16.6831,14.074,-6.71748,-9.200473764
16.7045,14.1,-6.924955419,-9.021945658
16.7231,14.126,-6.744063266,-8.793547425
16.7389,14.152,-6.67425,-9.165105901
16.7515,14.178,-6.538863154,-9.317963107
16.7719,14.23,-5.85578,-9.538222853
16.7817,14.256,-5.745357635,-9.358482599
16.7915,14.282,-5.87192,-9.198785636
16.8011,14.308,-5.44988,-8.639045382
